index,title,like count,view count,comment count
K5KVEU3aaeQ,Python Full Course for Beginners,146109,6274487,3827
ix9cRaBkVe0,Python Full Course for free 🐍,303526,9769038,18649
_uQrJ0TkZlc,Python Full Course for Beginners,1248442,47690312,62298
9QKe2RvjG-A,Python Programming for Beginners Explained (Complete Introduction Guide) 2026,1353,35488,233
kqtD5dpn9C8,Python for Beginners - Learn Coding with Python in 1 Hour,551459,24237559,27594
rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial],1116785,48730065,46100
Z1Yd7upQsXY,Python Tutorial for Absolute Beginners #1 - What Are Variables?,204224,9439543,8571
t8pPdKYpowI,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],169458,6739306,4055
nLRL_NcnK-4,Harvard CS50’s Introduction to Programming with Python – Full University Course,221841,8263622,4611
b093aqAZiPU,👩‍💻 Python for Beginners Tutorial,96431,4440685,3300
